monthyear_str,monthyear,covid_cases_state
202001,202001,0
202002,202002,0
202003,202003,525
202004,202004,1488
202005,202005,826
202006,202006,3277
202007,202007,14598
202008,202008,11368
202009,202009,9963
202010,202010,22563
202011,202011,37084
202012,202012,39381
202101,202101,21610
202102,202102,8461
202103,202103,9392
202104,202104,7120
202105,202105,4356
202106,202106,2986
202107,202107,5486
202108,202108,20901
202109,202109,35936
202110,202110,33549
202111,202111,15973
202112,202112,12539
202201,202201,58339
202202,202202,48443
202203,202203,17838
202204,202204,2038
202205,202205,4917
202206,202206,12021
202207,202207,15683
202208,202208,10739
202209,202209,6473
